team,confederation,wc_year,wc_appearances,wc_titles,elo_rating,host_nation,consecutive_wc_appearances,is_debut,win_rate_before,goals_scored_per_match_before,goals_conceded_per_match_before,target_champion,target_top4,target_top8
Argentina,CONMEBOL,1930,0,0,1900.0,0,0,1,0.0,0.0,0.0,0,1,1
Argentina,CONMEBOL,1934,1,0,,0,1,0,0.75,4.5,2.25,0,0,0
Argentina,CONMEBOL,1958,2,0,1830.0,0,2,0,0.0,0.0,0.0,0,0,0
Argentina,CONMEBOL,1966,3,0,1860.0,0,1,0,0.0,0.0,0.0,0,0,1
Argentina,CONMEBOL,1974,4,0,1890.0,0,1,0,0.0,0.0,0.0,0,0,0
Argentina,CONMEBOL,1978,5,0,1960.0,1,1,0,0.0,0.0,0.0,1,1,1
Argentina,CONMEBOL,1982,6,1,1920.0,0,2,0,0.0,0.0,0.0,0,0,0
Argentina,CONMEBOL,1986,7,1,1970.0,0,3,0,0.0,0.0,0.0,1,1,1
Argentina,CONMEBOL,1990,8,2,1950.0,0,4,0,0.0,0.0,0.0,0,1,1
Argentina,CONMEBOL,1998,9,2,1950.0,0,5,0,0.0,0.0,0.0,0,0,1
Argentina,CONMEBOL,2006,10,2,1960.0,0,1,0,0.0,0.0,0.0,0,0,1
Argentina,CONMEBOL,2010,11,2,1960.0,0,1,0,0.0,0.0,0.0,0,0,1
Argentina,CONMEBOL,2014,12,2,1960.0,0,2,0,0.0,0.0,0.0,0,1,1
Argentina,CONMEBOL,2022,13,2,1980.0,0,3,0,0.0,0.0,0.0,1,1,1
Australia,AFC,2010,0,0,1690.0,0,0,1,0.0,0.0,0.0,0,0,0
Austria,UEFA,1934,0,0,1830.0,0,0,1,0.0,0.0,0.0,0,1,1
Austria,UEFA,1954,1,0,1850.0,0,1,0,0.75,3.75,2.0,0,1,1
Belgium,UEFA,1930,0,0,1680.0,0,0,1,0.0,0.0,0.0,0,0,0
Belgium,UEFA,1986,1,0,1840.0,0,1,0,0.0,0.0,2.5,0,1,1
Belgium,UEFA,2014,2,0,1880.0,0,1,0,0.444,1.222,1.667,0,0,1
Belgium,UEFA,2018,3,0,1920.0,0,1,0,0.5,1.286,1.5,0,1,1
Bolivia,CONMEBOL,1930,0,0,1450.0,0,0,1,0.0,0.0,0.0,0,0,0
Brazil,CONMEBOL,1930,0,0,1700.0,0,0,1,0.0,0.0,0.0,0,0,0
Brazil,CONMEBOL,1934,1,0,1720.0,0,1,0,0.5,2.5,1.0,0,0,0
Brazil,CONMEBOL,1938,2,0,1800.0,0,2,0,0.333,2.0,1.667,0,1,1
Brazil,CONMEBOL,1950,3,0,1900.0,1,3,0,0.625,2.5,2.0,0,1,1
Brazil,CONMEBOL,1954,4,0,1890.0,0,4,0,0.643,3.0,1.571,0,0,1
Brazil,CONMEBOL,1958,5,0,1950.0,0,5,0,0.647,2.941,1.588,1,1,1
Brazil,CONMEBOL,1962,6,1,1980.0,0,6,0,0.696,2.87,1.348,1,1,1
Brazil,CONMEBOL,1966,7,2,1980.0,0,7,0,0.724,2.759,1.241,0,0,0
Brazil,CONMEBOL,1970,8,2,2000.0,0,8,0,0.688,2.625,1.312,1,1,1
Brazil,CONMEBOL,1974,9,3,1980.0,0,9,0,0.737,2.711,1.289,0,1,1
Brazil,CONMEBOL,1978,10,3,1990.0,0,10,0,0.689,2.422,1.178,0,1,1
Brazil,CONMEBOL,1982,11,3,2000.0,0,11,0,0.673,2.423,1.077,0,0,0
Brazil,CONMEBOL,1986,12,3,1990.0,0,12,0,0.679,2.429,1.036,0,0,1
Brazil,CONMEBOL,1994,13,3,2000.0,0,13,0,0.689,2.393,1.033,1,1,1
Brazil,CONMEBOL,1998,14,4,2010.0,0,1,0,0.691,2.309,0.971,0,1,1
Brazil,CONMEBOL,2002,15,4,2050.0,0,2,0,0.68,2.28,1.013,1,1,1
